index,forgetting_events,index_info
870,3.0,"(8, 70)"
871,6.0,"(8, 71)"
872,6.0,"(8, 72)"
873,9.0,"(8, 73)"
874,5.0,"(8, 74)"
875,11.0,"(8, 75)"
876,2.0,"(8, 76)"
877,10.0,"(8, 77)"
878,7.0,"(8, 78)"
879,9.0,"(8, 79)"
880,7.0,"(8, 80)"
881,8.0,"(8, 81)"
882,6.0,"(8, 82)"
883,4.0,"(8, 83)"
884,12.0,"(8, 84)"
885,9.223372036854776e+18,"(8, 85)"
886,14.0,"(8, 86)"
887,12.0,"(8, 87)"
888,7.0,"(8, 88)"
889,9.223372036854776e+18,"(8, 89)"
890,8.0,"(8, 90)"
891,11.0,"(8, 91)"
892,13.0,"(8, 92)"
893,8.0,"(8, 93)"
894,8.0,"(8, 94)"
895,5.0,"(8, 95)"
896,11.0,"(8, 96)"
897,11.0,"(8, 97)"
898,8.0,"(8, 98)"
899,7.0,"(8, 99)"
900,13.0,"(9, 0)"
901,9.0,"(9, 1)"
902,11.0,"(9, 2)"
903,11.0,"(9, 3)"
